"stolen_date","brand","model","color","stolen_from","recovery","Year","Month","Day"
"11/18/2019","ROCK ISLAND","1911","BLK","SERVICE/GAS STATION","NOT RECOVERED","2019","11","18"
"11/12/2019","RUGER","P90","BLK","RESTAURANT","NOT RECOVERED","2019","11","12"
"11/09/2019","GLOCK","43","BLK","CONSTRUCTION SITE","NOT RECOVERED","2019","11","09"
"10/25/2019","ROCK ISLAND","ARMORY .38","BLK","RESIDENCE","NOT RECOVERED","2019","10","25"
"10/17/2019","GLOCK","31",NA,"HOTEL/MOTEL","NOT RECOVERED","2019","10","17"
"10/06/2019","SPRINGFIELD",NA,"GRY","RESIDENCE","NOT RECOVERED","2019","10","06"
"09/30/2019",NA,NA,NA,"RESIDENCE","NOT RECOVERED","2019","09","30"
"09/29/2019","GLOCK","G23 40 CALIBER","BLK","HIGHWAY/ROAD/ALLEY","RECOVERED OTHER","2019","09","29"
"09/24/2019","RUGER",NA,"BLK","RESIDENCE","RECOVERED LOCALLY","2019","09","24"
"09/06/2019","RUGER","LCP .380",NA,"AUTO DEALERSHIP","RECOVERED OTHER","2019","09","06"
"08/29/2019","GLOCK","22 GEN 2","BLK","OTHER/UNKNOWN","RECOVERED OTHER","2019","08","29"
"08/24/2019","SMITH AND WESSO","SHIELD","BLK","RESIDENCE","RECOVERED OTHER","2019","08","24"
"08/13/2019","GLOCK","30","BLK","HOTEL/MOTEL","NOT RECOVERED","2019","08","13"
"08/12/2019","SMITH & WESSON","SD9VE","BLK","RESIDENCE","NOT RECOVERED","2019","08","12"
"07/21/2019","SIG SAUER","M400 5.56 AR-15",NA,"DEPARTMENT/DISCOUNT STORE","RECOVERED LOCALLY","2019","07","21"
"07/08/2019","RUGER","22 CHARGER","BLK","RESIDENCE","NOT RECOVERED","2019","07","08"
"06/24/2019","TAURUS","G2C","BLK","RESIDENCE","RECOVERED OTHER","2019","06","24"
"06/09/2019","GLOCK 26","9MM","BLK","RESIDENCE","RECOVERED LOCALLY","2019","06","09"
"04/20/2019","SIG SAUER","P226","BLK","HIGHWAY/ROAD/ALLEY","RECOVERED LOCALLY","2019","04","20"
"04/18/2019","SAVAGE",NA,NA,"RESIDENCE","NOT RECOVERED","2019","04","18"
"03/17/2019","SCCY","CPX1","BLK","RESIDENCE","NOT RECOVERED","2019","03","17"
"03/07/2019","SIG SAUER","P238","BLK","RESIDENCE","NOT RECOVERED","2019","03","07"
"03/07/2019","SIG SAUER","P238","BLK","RESIDENCE","NOT RECOVERED","2019","03","07"
"03/07/2019","SIG SAUER","P938","BLK","RESIDENCE","NOT RECOVERED","2019","03","07"
"03/07/2019","KIMBER","MICRO 9MM","BLK","RESIDENCE","RECOVERED OTHER","2019","03","07"
"02/12/2019","SMITH & WESSON","M&P BODYGUARD","BLK","RESIDENCE","NOT RECOVERED","2019","02","12"
"12/15/2018","GLOCK 19","9MM","BLK","RESIDENCE","NOT RECOVERED","2018","12","15"
"12/06/2018","BERSA","THUNDER","SIL","RESIDENCE","RECOVERED LOCALLY","2018","12","06"
"11/18/2018","SMITH & WESSON","9MM","BLK","CONSTRUCTION SITE","NOT RECOVERED","2018","11","18"
"11/06/2018","MOSSBERG",NA,"BLK","RESIDENCE","NOT RECOVERED","2018","11","06"
"10/19/2018","RUGER","EC9","BLK","RESIDENCE","NOT RECOVERED","2018","10","19"
